scenario,attack,defence,intensity,seed,accuracy,precision,recall,f1,fnr,fpr,auc,tn,fp,fn,tp
baseline,,,0.0,42,0.9949456659085165,0.9984740590030519,0.9914141414141414,0.994931576279777,0.008585858585858586,0.0015174506828528073,0.9989165810865356,1974,3,17,1963
attacked,BOOTLFA,,0.3,42,0.505938842557493,1.0,0.012626262626262626,0.02493765586034913,0.9873737373737373,0.0,0.999025919283886,1977,0,1955,25
defended,BOOTLFA,BOOTKCD,0.3,42,0.9843315643164013,1.0,0.9686868686868687,0.9840944073884044,0.031313131313131314,0.0,0.9961228368663877,1977,0,62,1918
attacked,BOOTLFA,,0.4,42,0.5001263583522871,1.0,0.00101010101010101,0.0020181634712411706,0.998989898989899,0.0,0.9977524358404479,1977,0,1978,2
defended,BOOTLFA,BOOTKCD,0.4,42,0.9840788476118272,1.0,0.9681818181818181,0.9838337182448036,0.031818181818181815,0.0,0.9987257501673283,1977,0,63,1917
attacked,BOOTLFA,,0.5,42,0.49962092494313876,0.0,0.0,0.0,1.0,0.0,0.9841990977044088,1977,0,1980,0
defended,BOOTLFA,BOOTKCD,0.5,42,0.9845842810209755,1.0,0.9691919191919192,0.9843549628109771,0.03080808080808081,0.0,0.9974765357162929,1977,0,61,1919
attacked,BAGLFA,,0.3,42,0.5066969926712156,1.0,0.014141414141414142,0.027888446215139442,0.9858585858585859,0.0,0.9977368525926947,1977,0,1952,28
defended,BAGLFA,BAGKCD,0.3,42,0.9840788476118272,1.0,0.9681818181818181,0.9838337182448036,0.031818181818181815,0.0,0.9976579145016171,1977,0,63,1917
attacked,BAGLFA,,0.4,42,0.5003790750568613,1.0,0.0015151515151515152,0.0030257186081694403,0.9984848484848485,0.0,0.9979269171226682,1977,0,1977,3
defended,BAGLFA,BAGKCD,0.4,42,0.9840788476118272,1.0,0.9681818181818181,0.9838337182448036,0.031818181818181815,0.0,0.9988100529830424,1977,0,63,1917
attacked,BAGLFA,,0.5,42,0.49962092494313876,0.0,0.0,0.0,1.0,0.0,0.962465831813328,1977,0,1980,0
defended,BAGLFA,BAGKCD,0.5,42,0.9845842810209755,1.0,0.9691919191919192,0.9843549628109771,0.03080808080808081,0.0,0.9987633032397828,1977,0,61,1919
baseline,,,0.0,43,0.9939378630967416,0.9979633401221996,0.98989898989899,0.9939148073022313,0.010101010101010102,0.00202122283981809,0.9990514033717672,1975,4,20,1960
attacked,BOOTLFA,,0.3,43,0.5036625410457186,1.0,0.007575757575757576,0.015037593984962407,0.9924242424242424,0.0,0.9985185355321788,1979,0,1965,15
