scenario,attack,defence,intensity,accuracy_mean,accuracy_std,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,fnr_mean,fnr_std,fpr_mean,fpr_std,auc_mean,auc_std,n_seeds
attacked,BAGLFA,,0.3,0.5060211664549418,0.0030870587562296116,1.0,0.0,0.0121268294675777,0.005831106629460519,0.02391922092056747,0.011414761189535744,0.9878731705324224,0.005831106629460519,0.0,0.0,0.9983468707222224,0.0005473139997327107,3
attacked,BAGLFA,,0.4,0.5009683218110731,0.0008118906577229344,1.0,0.0,0.0020203722428191588,0.001820773053466966,0.004028206588836356,0.003624357272991069,0.9979796277571809,0.0018207730534669944,0.0,0.0,0.9976413779577529,0.0005299195049726436,3
attacked,BAGLFA,,0.5,0.49995783799359145,0.00038591971264474365,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.7238553071259862,0.4342448741644778,3
attacked,BOOTLFA,,0.3,0.5105676414654471,0.010053283663508265,1.0,0.0,0.021226760357195135,0.01943511915593261,0.04110286105954829,0.03690612954014978,0.9787732396428049,0.019435119155932563,0.0,0.0,0.9987573341717205,0.00025499998693650225,3
attacked,BOOTLFA,,0.4,0.5023154207894843,0.0029600497870973866,1.0,0.0,0.004717379388764626,0.005164896677284477,0.00935548403306078,0.010205839789682257,0.9952826206112354,0.005164896677284453,0.0,0.0,0.9959558611961028,0.003886531336061461,3
attacked,BOOTLFA,,0.5,0.49995783799359145,0.00038591971264474365,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.7451154973500159,0.41607828606537967,3
baseline,,,0.0,0.9945263864049689,0.0005247849330175907,0.9988124663750838,0.0010596629306268669,0.9902321155607304,0.0010556489378719944,0.9945032206179757,0.0005269427178206343,0.009767884439269677,0.0010556489378720341,0.0011795578408902991,0.0010521236246457456,0.9989676712834221,7.3098440183474e-05,3
defended,BAGLFA,BAGKCD,0.3,0.9856839401949333,0.001395776470549703,0.9994826694257631,0.0008960428388871574,0.9718763298641964,0.0033593766086779334,0.9854833554703197,0.0014361943435477228,0.028123670135803604,0.0033593766086779013,0.0005053057099545225,0.0008752151629958956,0.997612279335438,0.0011308653906309059,3
defended,BAGLFA,BAGKCD,0.4,0.9858523328866906,0.0019107360517027965,1.0,0.0,0.9717090010315491,0.003800065050476541,0.9856490233834379,0.001954230787084883,0.028290998968450942,0.003800065050476579,0.0,0.0,0.9980880291248,0.001173366233763816,3
defended,BAGLFA,BAGKCD,0.5,0.9861050070356185,0.0014105532944359584,0.9996552912788693,0.0005970530188103767,0.9725497305375971,0.0032853963099875763,0.985913750277588,0.001451069115380299,0.02745026946240293,0.0032853963099876114,0.000336870473303015,0.000583476775330597,0.9979986916603503,0.0012897794628914455,3
defended,BOOTLFA,BOOTKCD,0.3,0.9848420192917936,0.000509140877715439,0.9989658738366081,0.0017911590564311062,0.9706968573500424,0.002678318662703835,0.9846251322709945,0.0005439463407612596,0.029303142649957616,0.00267831866270379,0.001010611419909045,0.0017504303259917912,0.997024961078547,0.0015090599657939865,3
defended,BOOTLFA,BOOTKCD,0.4,0.9855155475031762,0.001685246177123842,0.999312005503956,0.0011916414224760002,0.9717071285827604,0.004494102602755749,0.9853107513364489,0.0017464891010383068,0.028292871417239462,0.004494102602755766,0.00067374094660603,0.001166953550661194,0.9981021220738097,0.0011268968768054469,3
defended,BOOTLFA,BOOTKCD,0.5,0.9854314362685899,0.0007759221817322478,0.9993095114793716,0.0011959611997714114,0.971539459304879,0.0020982532934179184,0.9852272453817316,0.0007919229782817773,0.028460540695121078,0.002098253293417905,0.00067374094660603,0.001166953550661194,0.9976494781497026,0.0009917438178588254,3
