scenario,attack,defence,intensity,seed,accuracy,precision,recall,f1,fnr,fpr,auc,tn,fp,fn,tp
baseline,,,0.0,42,0.9949456659085165,0.9984740590030519,0.9914141414141414,0.994931576279777,0.008585858585858586,0.0015174506828528073,0.9989165810865356,1974,3,17,1963
attacked,BOOTLFA,,0.3,42,0.9916603487490523,0.9984639016897081,0.9848484848484849,0.9916094584286803,0.015151515151515152,0.0015174506828528073,0.9948605937983783,1974,3,30,1950
defended,BOOTLFA,BOOTKCD,0.3,42,0.9327773565832701,1.0,0.8656565656565657,0.9279913373037358,0.13434343434343435,0.0,0.9820984248146616,1977,0,266,1714
attacked,BOOTLFA,,0.4,42,0.9663886782916351,0.997843665768194,0.9348484848484848,0.9653194263363755,0.06515151515151515,0.0020232675771370764,0.9836227730006182,1973,4,129,1851
defended,BOOTLFA,BOOTKCD,0.4,42,0.96487237806419,1.0,0.9297979797979798,0.9636220884585187,0.0702020202020202,0.0,0.9890306708971353,1977,0,139,1841
attacked,BOOTLFA,,0.5,42,0.33434420015163,0.4009090909090909,0.6681818181818182,0.5011363636363636,0.33181818181818185,1.0,0.5514696790872815,0,1977,657,1323
defended,BOOTLFA,BOOTKCD,0.5,42,0.04675259034622189,0.08556891766882516,0.09343434343434344,0.08932882665379044,0.9065656565656566,1.0,0.022820261287636097,0,1977,1795,185
attacked,BAGLFA,,0.3,42,0.980793530452363,1.0,0.9616161616161616,0.98043254376931,0.03838383838383838,0.0,0.9957153732571031,1977,0,76,1904
defended,BAGLFA,BAGKCD,0.3,42,0.9727065959059894,1.0,0.9454545454545454,0.9719626168224299,0.05454545454545454,0.0,0.9986427246670039,1977,0,108,1872
attacked,BAGLFA,,0.4,42,0.9861005812484205,0.9994810586403736,0.9727272727272728,0.9859227028410544,0.02727272727272727,0.0005058168942842691,0.9918841934775167,1976,1,54,1926
defended,BAGLFA,BAGKCD,0.4,42,0.9701794288602477,1.0,0.9404040404040404,0.9692868297761582,0.0595959595959596,0.0,0.9973807370620724,1977,0,118,1862
attacked,BAGLFA,,0.5,42,0.4030831437958049,0.4427114577084583,0.7454545454545455,0.5555137372977041,0.2545454545454545,0.939807789580172,0.6184500544136357,119,1858,504,1476
defended,BAGLFA,BAGKCD,0.5,42,0.9320192064695476,1.0,0.8641414141414141,0.9271200216743429,0.13585858585858585,0.0,0.9979953812275512,1977,0,269,1711
baseline,,,0.0,43,0.9939378630967416,0.9979633401221996,0.98989898989899,0.9939148073022313,0.010101010101010102,0.00202122283981809,0.9990514033717672,1975,4,20,1960
attacked,BOOTLFA,,0.3,43,0.9896438494569336,0.9943906170321265,0.9848484848484849,0.9895965490992135,0.015151515151515152,0.0055583628094997475,0.9966483939955391,1968,11,30,1950
defended,BOOTLFA,BOOTKCD,0.3,43,0.9691841374084365,1.0,0.9383838383838384,0.9682126107347577,0.06161616161616162,0.0,0.9983092675108844,1979,0,122,1858
attacked,BOOTLFA,,0.4,43,0.9795402879515029,1.0,0.9590909090909091,0.9791183294663574,0.04090909090909091,0.0,0.9756679988362656,1979,0,81,1899
defended,BOOTLFA,BOOTKCD,0.4,43,0.9641323566557212,0.9852164730728616,0.9424242424242424,0.963345379452762,0.05757575757575758,0.01414855987872663,0.9823520704773863,1951,28,114,1866
attacked,BOOTLFA,,0.5,43,0.5160394038898711,0.5096269554753309,0.8555555555555555,0.638763197586727,0.14444444444444443,0.8236483072258717,0.8390323140449467,349,1630,286,1694
defended,BOOTLFA,BOOTKCD,0.5,43,0.4998737054811821,0.0,0.0,0.0,1.0,0.0,0.7822055828624803,1979,0,1980,0
attacked,BAGLFA,,0.3,43,0.9840868906289467,1.0,0.9681818181818181,0.9838337182448036,0.031818181818181815,0.0,0.9970115505739559,1979,0,63,1917
defended,BAGLFA,BAGKCD,0.3,43,0.9669108360697146,1.0,0.9338383838383838,0.9657874118568817,0.06616161616161616,0.0,0.9809928491585894,1979,0,131,1849
