scenario,attack,defence,intensity,accuracy_mean,accuracy_std,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,fnr_mean,fnr_std,fpr_mean,fpr_std,auc_mean,auc_std,n_seeds
attacked,BAGLFA,,0.3,0.9846730308209906,0.004203333739546772,0.9988028048571916,0.002073602813918646,0.9705325925245035,0.010295115208734667,0.9844388091782891,0.00434055900099036,0.029467407475496452,0.010295115208734676,0.001177856301531213,0.002040106958267229,0.9951869221561909,0.002138400412713928,3
attacked,BAGLFA,,0.4,0.970613134727835,0.014934034144303329,0.9991128613607531,0.0011176878972155703,0.9420580935747771,0.030111123997835134,0.9695795737059069,0.015852048641571505,0.05794190642522291,0.030111123997835124,0.0008423465780341197,0.00105179589896717,0.9817374350458413,0.01124628917355124,3
attacked,BAGLFA,,0.5,0.4497605595931289,0.05454820391446965,0.6362058205039242,0.3152683785579421,0.5434406416711776,0.4584240052478058,0.3993794402397505,0.31507715372901357,0.4565593583288224,0.45842400524780585,0.6444129384502544,0.558721656369656,0.5959571758164065,0.09259679633445407,3
attacked,BOOTLFA,,0.3,0.9877901255112822,0.0050585814086292055,0.9976181729072783,0.0028987475226621624,0.9779340421403111,0.0119761660765811,0.9876435297508251,0.005223830997954681,0.0220659578596889,0.011976166076581076,0.0023586044974508516,0.0028730652769067243,0.9924139167842282,0.00585469245345455,3
attacked,BOOTLFA,,0.4,0.9761667742154234,0.008602628314109522,0.9992812219227313,0.0012449601491960156,0.9530185576697204,0.016021545824054722,0.9755620921709308,0.00900742343038846,0.04698144233027954,0.016021545824054732,0.0006744225257123588,0.0011681340803027331,0.9834591602699132,0.007710657067545138,3
attacked,BOOTLFA,,0.5,0.434004267778084,0.09212092826031855,0.46164414600007836,0.05546943613508116,0.8092269169620029,0.12452162557991671,0.5873790834840845,0.07514404934303408,0.1907730830379971,0.12452162557991674,0.941216102408624,0.10181669729518916,0.6252802397060241,0.1880446428449115,3
baseline,,,0.0,0.9945263864049689,0.0005247849330175907,0.9988124663750838,0.0010596629306268669,0.9902321155607304,0.0010556489378719944,0.9945032206179757,0.0005269427178206343,0.009767884439269677,0.0010556489378720341,0.0011795578408902991,0.0010521236246457456,0.9989676712834221,7.3098440183474e-05,3
defended,BAGLFA,BAGKCD,0.3,0.9694321304362896,0.0029703801192575542,1.0,0.0,0.9388677812843637,0.005962620733237635,0.9684636490865625,0.003168746314552622,0.06113221871563631,0.005962620733237618,0.0,0.0,0.9830598867466865,0.014659030333926154,3
defended,BAGLFA,BAGKCD,0.4,0.9710314354515215,0.002151212362237004,1.0,0.0,0.9420669451508683,0.004318497229592896,0.9701659921141484,0.0022875001964824146,0.05793305484913169,0.004318497229592862,0.0,0.0,0.9934352473047418,0.008054557885621995,3
defended,BAGLFA,BAGKCD,0.5,0.49228458688329874,0.44370744682201985,0.5273822279227076,0.45959635101661483,0.6512085805816847,0.49118732793678677,0.5598296275523994,0.4308385219174606,0.34879141941831526,0.49118732793678677,0.6666666666666666,0.5773502691896258,0.5613732997475318,0.49933424982094693,3
defended,BOOTLFA,BOOTKCD,0.3,0.9527545301602397,0.018460832664203033,1.0,0.0,0.9055261070427906,0.036867169130121884,0.9501576822124963,0.020423406122158882,0.09447389295720944,0.03686716913012188,0.0,0.0,0.983223088922356,0.014556468327837033,3
defended,BOOTLFA,BOOTKCD,0.4,0.9589904643223144,0.009554063701395409,0.9950721576909539,0.008535273250955403,0.9226922068681421,0.02408436422708202,0.9573447115259824,0.010633998831295493,0.07730779313185784,0.02408436422708205,0.00471618662624221,0.008168674854628358,0.9827277759112029,0.0061236923405493535,3
defended,BOOTLFA,BOOTKCD,0.5,0.5040071992237679,0.4593353047337441,0.36185630588960843,0.5543023007956907,0.3413908209155934,0.5125233387163897,0.35115185380036884,0.5327274756587826,0.6586091790844065,0.5125233387163898,0.3333333333333333,0.5773502691896258,0.5987435710179475,0.5095938769348339,3
