scenario,attack,defence,intensity,seed,accuracy,precision,recall,f1,fnr,fpr,auc,tn,fp,fn,tp
baseline,,,0.0,42,0.9949456659085165,0.9984740590030519,0.9914141414141414,0.994931576279777,0.008585858585858586,0.0015174506828528073,0.9989165810865356,1974,3,17,1963
attacked,BOOTLFA,,0.0,42,0.9949456659085165,0.9984740590030519,0.9914141414141414,0.994931576279777,0.008585858585858586,0.0015174506828528073,0.9989165810865356,1974,3,17,1963
defended,BOOTLFA,BOOTKCD,0.0,42,0.9866060146575689,1.0,0.9732323232323232,0.9864346045559252,0.026767676767676767,0.0,0.998830745492354,1977,0,53,1927
attacked,BAGLFA,,0.0,42,0.9949456659085165,0.9984740590030519,0.9914141414141414,0.994931576279777,0.008585858585858586,0.0015174506828528073,0.9989165810865356,1974,3,17,1963
defended,BAGLFA,BAGKCD,0.0,42,0.9845842810209755,1.0,0.9691919191919192,0.9843549628109771,0.03080808080808081,0.0,0.9987633032397828,1977,0,61,1919
baseline,,,0.0,43,0.9939378630967416,0.9979633401221996,0.98989898989899,0.9939148073022313,0.010101010101010102,0.00202122283981809,0.9990514033717672,1975,4,20,1960
attacked,BOOTLFA,,0.0,43,0.9939378630967416,0.9979633401221996,0.98989898989899,0.9939148073022313,0.010101010101010102,0.00202122283981809,0.9990514033717672,1975,4,20,1960
defended,BOOTLFA,BOOTKCD,0.0,43,0.9861076029300329,1.0,0.9722222222222222,0.9859154929577464,0.027777777777777776,0.0,0.9966195558413851,1979,0,55,1925
attacked,BAGLFA,,0.0,43,0.9939378630967416,0.9979633401221996,0.98989898989899,0.9939148073022313,0.010101010101010102,0.00202122283981809,0.9990514033717672,1975,4,20,1960
defended,BAGLFA,BAGKCD,0.0,43,0.9861076029300329,1.0,0.9722222222222222,0.9859154929577464,0.027777777777777776,0.0,0.9966195558413851,1979,0,55,1925
baseline,,,0.0,44,0.9946956302096489,1.0,0.9893832153690597,0.9946632782719188,0.010616784630940344,0.0,0.9989350293919638,1981,0,21,1957
attacked,BOOTLFA,,0.0,44,0.9946956302096489,1.0,0.9893832153690597,0.9946632782719188,0.010616784630940344,0.0,0.9989350293919638,1981,0,21,1957
defended,BOOTLFA,BOOTKCD,0.0,44,0.9863601919676686,1.0,0.9726996966632963,0.9861609431060994,0.027300303336703743,0.0,0.998503477679002,1981,0,54,1924
attacked,BAGLFA,,0.0,44,0.9946956302096489,1.0,0.9893832153690597,0.9946632782719188,0.010616784630940344,0.0,0.9989350293919638,1981,0,21,1957
defended,BAGLFA,BAGKCD,0.0,44,0.9863601919676686,1.0,0.9726996966632963,0.9861609431060994,0.027300303336703743,0.0,0.998503477679002,1981,0,54,1924
