scenario,attack,defence,intensity,seed,accuracy,precision,recall,f1,fnr,fpr,auc,tn,fp,fn,tp
baseline,,,0.0,42,0.9949456659085165,0.9984740590030519,0.9914141414141414,0.994931576279777,0.008585858585858586,0.0015174506828528073,0.9989165810865356,1974,3,17,1963
attacked,BOOTLFA,,0.3,42,0.9914076320444781,0.9959225280326198,0.9868686868686869,0.9913749365804161,0.013131313131313131,0.004046535154274153,0.9970616636777486,1969,8,26,1954
defended,BOOTLFA,BOOTKCD,0.3,42,0.9881223148850139,0.9953869810353665,0.9808080808080808,0.9880437547697786,0.01919191919191919,0.004552352048558422,0.9951129913193646,1968,9,38,1942
attacked,BOOTLFA,,0.4,42,0.9818043972706596,1.0,0.9636363636363636,0.9814814814814815,0.03636363636363636,0.0,0.9899283681529508,1977,0,72,1908
defended,BOOTLFA,BOOTKCD,0.4,42,0.9802880970432145,0.9994747899159664,0.9611111111111111,0.9799176107106077,0.03888888888888889,0.0005058168942842691,0.9902162750417682,1976,1,77,1903
attacked,BOOTLFA,,0.5,42,0.4200151630022744,0.4424552429667519,0.6116161616161616,0.5134619461522154,0.3883838383838384,0.7718765806777946,0.5018508299995401,451,1526,769,1211
defended,BOOTLFA,BOOTKCD,0.5,42,0.976497346474602,1.0,0.953030303030303,0.9759503491078355,0.04696969696969697,0.0,0.9895822156823674,1977,0,93,1887
attacked,BAGLFA,,0.3,42,0.9843315643164013,1.0,0.9686868686868687,0.9840944073884044,0.031313131313131314,0.0,0.9930230478788901,1977,0,62,1918
defended,BAGLFA,BAGKCD,0.3,42,0.9868587313621431,0.9989648033126294,0.9747474747474747,0.9867075664621676,0.025252525252525252,0.0010116337885685382,0.9938292893528098,1975,2,50,1930
attacked,BAGLFA,,0.4,42,0.9825625473843821,0.9994772608468374,0.9656565656565657,0.982275879784228,0.03434343434343434,0.0005058168942842691,0.987046744633998,1976,1,68,1912
defended,BAGLFA,BAGKCD,0.4,42,0.9770027798837503,0.9787126203750633,0.9752525252525253,0.9769795092334935,0.024747474747474747,0.021244309559939303,0.9918382101234908,1935,42,49,1931
attacked,BAGLFA,,0.5,42,0.629011877685115,1.0,0.2585858585858586,0.4109149277688604,0.7414141414141414,0.0,0.37931055624530585,1977,0,1468,512
defended,BAGLFA,BAGKCD,0.5,42,0.9188779378316907,0.9993979530403372,0.8383838383838383,0.9118374073056852,0.16161616161616163,0.0005058168942842691,0.9798421749104602,1976,1,320,1660
baseline,,,0.0,43,0.9939378630967416,0.9979633401221996,0.98989898989899,0.9939148073022313,0.010101010101010102,0.00202122283981809,0.9990514033717672,1975,4,20,1960
attacked,BOOTLFA,,0.3,43,0.9866127810053044,0.9969056214543579,0.9762626262626263,0.9864761418729268,0.023737373737373738,0.003031834259727135,0.9952156736643851,1973,6,47,1933
defended,BOOTLFA,BOOTKCD,0.3,43,0.9876231371558475,1.0,0.9752525252525253,0.9874712349782664,0.024747474747474747,0.0,0.99370537104241,1979,0,49,1931
attacked,BOOTLFA,,0.4,43,0.9780247537256883,1.0,0.956060606060606,0.9775367931835787,0.04393939393939394,0.0,0.9716916512267699,1979,0,87,1893
defended,BOOTLFA,BOOTKCD,0.4,43,0.9785299318009598,0.9989468141126909,0.9580808080808081,0.9780871358597577,0.04191919191919192,0.001010611419909045,0.992155511660312,1977,2,83,1897
attacked,BOOTLFA,,0.5,43,0.6984086890628947,0.65244375484872,0.8494949494949495,0.7380430013163669,0.1505050505050505,0.45275391611925214,0.8434634367934014,1083,896,298,1682
defended,BOOTLFA,BOOTKCD,0.5,43,0.9651427128062642,0.9983766233766234,0.9318181818181818,0.9639498432601881,0.06818181818181818,0.0015159171298635675,0.9862699761638619,1976,3,135,1845
attacked,BAGLFA,,0.3,43,0.9790351098762313,1.0,0.9580808080808081,0.9785916946092339,0.04191919191919192,0.0,0.9962630345904727,1979,0,83,1897
