scenario,attack,defence,intensity,seed,accuracy,precision,recall,f1,fnr,fpr,auc,tn,fp,fn,tp
baseline,,,0.0,42,0.9949456659085165,0.9984740590030519,0.9914141414141414,0.994931576279777,0.008585858585858586,0.0015174506828528073,0.9989165810865356,1974,3,17,1963
attacked,BOOTLFA,,0.3,42,0.9914076320444781,0.9959225280326198,0.9868686868686869,0.9913749365804161,0.013131313131313131,0.004046535154274153,0.9970616636777486,1969,8,26,1954
defended,BOOTLFA,BOOTKCD,0.3,42,0.9898913318170331,0.9923857868020305,0.9873737373737373,0.989873417721519,0.012626262626262626,0.007587253414264037,0.9956167645090255,1962,15,25,1955
attacked,BOOTLFA,,0.4,42,0.9818043972706596,1.0,0.9636363636363636,0.9814814814814815,0.03636363636363636,0.0,0.9899283681529508,1977,0,72,1908
defended,BOOTLFA,BOOTKCD,0.4,42,0.9638615112458934,0.9989136338946225,0.9287878787878788,0.9625752420832243,0.07121212121212121,0.0010116337885685382,0.9873389943951401,1975,2,141,1839
attacked,BOOTLFA,,0.5,42,0.4200151630022744,0.4424552429667519,0.6116161616161616,0.5134619461522154,0.3883838383838384,0.7718765806777946,0.5018508299995401,451,1526,769,1211
defended,BOOTLFA,BOOTKCD,0.5,42,0.9287338893100834,0.9398963730569948,0.9161616161616162,0.9278772378516624,0.08383838383838384,0.05867475973697522,0.9717240692202755,1861,116,166,1814
attacked,BAGLFA,,0.3,42,0.9843315643164013,1.0,0.9686868686868687,0.9840944073884044,0.031313131313131314,0.0,0.9930230478788901,1977,0,62,1918
defended,BAGLFA,BAGKCD,0.3,42,0.9805408137477887,0.9968668407310705,0.9641414141414142,0.9802310654685494,0.03585858585858586,0.0030349013657056147,0.9945938903450284,1971,6,71,1909
attacked,BAGLFA,,0.4,42,0.9825625473843821,0.9994772608468374,0.9656565656565657,0.982275879784228,0.03434343434343434,0.0005058168942842691,0.987046744633998,1976,1,68,1912
defended,BAGLFA,BAGKCD,0.4,42,0.9689158453373768,0.9749360613810741,0.9626262626262626,0.9687420584498094,0.03737373737373737,0.024785027819929185,0.9881115147427743,1928,49,74,1906
attacked,BAGLFA,,0.5,42,0.629011877685115,1.0,0.2585858585858586,0.4109149277688604,0.7414141414141414,0.0,0.37931055624530585,1977,0,1468,512
defended,BAGLFA,BAGKCD,0.5,42,0.8627748294162244,0.8605117912694431,0.8661616161616161,0.8633274603574126,0.13383838383838384,0.1406170966110268,0.9506381467686476,1699,278,265,1715
baseline,,,0.0,43,0.9939378630967416,0.9979633401221996,0.98989898989899,0.9939148073022313,0.010101010101010102,0.00202122283981809,0.9990514033717672,1975,4,20,1960
attacked,BOOTLFA,,0.3,43,0.9866127810053044,0.9969056214543579,0.9762626262626263,0.9864761418729268,0.023737373737373738,0.003031834259727135,0.9952156736643851,1973,6,47,1933
defended,BOOTLFA,BOOTKCD,0.3,43,0.9800454660267744,0.9984268484530676,0.9616161616161616,0.9796758425520967,0.03838383838383838,0.0015159171298635675,0.9931334568525069,1976,3,76,1904
attacked,BOOTLFA,,0.4,43,0.9780247537256883,1.0,0.956060606060606,0.9775367931835787,0.04393939393939394,0.0,0.9716916512267699,1979,0,87,1893
defended,BOOTLFA,BOOTKCD,0.4,43,0.9744885071987875,0.9963021658742737,0.9525252525252526,0.9739220242705914,0.047474747474747475,0.0035371399696816574,0.9875133344562349,1972,7,94,1886
attacked,BOOTLFA,,0.5,43,0.6984086890628947,0.65244375484872,0.8494949494949495,0.7380430013163669,0.1505050505050505,0.45275391611925214,0.8434634367934014,1083,896,298,1682
defended,BOOTLFA,BOOTKCD,0.5,43,0.8552664814347057,0.91651865008881,0.7818181818181819,0.8438266557645134,0.21818181818181817,0.07124810510358767,0.9621594928568148,1838,141,432,1548
attacked,BAGLFA,,0.3,43,0.9790351098762313,1.0,0.9580808080808081,0.9785916946092339,0.04191919191919192,0.0,0.9962630345904727,1979,0,83,1897
