scenario,attack,defence,intensity,accuracy_mean,accuracy_std,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,fnr_mean,fnr_std,fpr_mean,fpr_std,auc_mean,auc_std,n_seeds
attacked,BAGLFA,,0.3,0.9831580923742219,0.003679377229685704,1.0,0.0,0.9663206040860238,0.007348190849689054,0.982862384336733,0.003807240911421482,0.0336793959139763,0.00734819084968904,0.0,0.0,0.9954021744402491,0.0020864391062752024,3
attacked,BAGLFA,,0.4,0.9780218173861049,0.004673734468422072,0.9957062891459936,0.006989108855100408,0.9602513166719436,0.012081867129945863,0.9776052747621455,0.004920831453603475,0.03974868332805643,0.012081867129945854,0.004211051311064269,0.0068603678819935746,0.9894498026131803,0.0020850173916982283,3
attacked,BAGLFA,,0.5,0.42588684211125455,0.17913807467622342,0.5836830864828607,0.3629395627362256,0.46539289082261776,0.23239473518807818,0.4368790279668164,0.08076382248521578,0.5346071091773822,0.23239473518807818,0.6132726966481389,0.537114616648834,0.3829627617093305,0.004084630015172362,3
attacked,BOOTLFA,,0.3,0.987790082955636,0.0031958963836023787,0.997609383162326,0.0021278874071233786,0.9779362550343339,0.008224341725728545,0.9876572177023372,0.003290207571537096,0.0220637449656661,0.008224341725728545,0.0023594564713337626,0.002105393218958802,0.9939502268205764,0.0039012501818383107,3
attacked,BOOTLFA,,0.4,0.9790320458697096,0.002430638181036587,1.0,0.0,0.9580654880452656,0.004887254701008762,0.9785794662747994,0.0025461748307312837,0.0419345119547344,0.00488725470100877,0.0,0.0,0.9822539090263679,0.009455104279875169,3
attacked,BOOTLFA,,0.5,0.5979489795677363,0.15452319174762075,0.6982996659384906,0.28158677607483734,0.6038216679773808,0.24966179966647412,0.5901372413189296,0.1281190732274534,0.39617833202261915,0.24966179966647406,0.4082101655990156,0.3878614098263938,0.6686942399252508,0.17094416297176404,3
baseline,,,0.0,0.9945263864049689,0.0005247849330175907,0.9988124663750838,0.0010596629306268669,0.9902321155607304,0.0010556489378719944,0.9945032206179757,0.0005269427178206343,0.009767884439269677,0.0010556489378720341,0.0011795578408902991,0.0010521236246457456,0.9989676712834221,7.3098440183474e-05,3
defended,BAGLFA,BAGKCD,0.3,0.980884152700808,0.0008140161085009825,0.9989556135770234,0.0018089303473304821,0.9627823567661787,0.0019040983636939308,0.9805335798840061,0.000820521590308693,0.037217643233821186,0.0019040983636939032,0.0010116337885685382,0.0017522011204540995,0.9935667588374759,0.0009140119606577293,3
defended,BAGLFA,BAGKCD,0.4,0.9713680080568051,0.0038050975584163083,0.9911103825537376,0.014010018218714313,0.951494895023712,0.011403099465750424,0.9707971887482009,0.0037875916443185337,0.04850510497628799,0.011403099465750393,0.008766641548493962,0.013874620715474156,0.989346292977847,0.0016317439952687864,3
defended,BAGLFA,BAGKCD,0.5,0.8512019491166821,0.037241596473473665,0.8667802361067114,0.06118399156702255,0.8334422758083021,0.029066510976301026,0.8490141972731805,0.034381727950859586,0.1665577241916979,0.02906651097630102,0.13106940772582695,0.06573738836732267,0.9408537464044372,0.010375192208122544,3
defended,BOOTLFA,BOOTKCD,0.3,0.985179740899523,0.00493652353225006,0.9967642048180888,0.003828208371366791,0.9735594911024638,0.012980309104140398,0.9849792074106959,0.005111085052802302,0.026440508897536196,0.012980309104140369,0.0032026553673088986,0.003830680975152544,0.9943119616885362,0.0012464620390889819,3
defended,BOOTLFA,BOOTKCD,0.4,0.963284307739538,0.011503666920777174,0.9956519626248744,0.003630704201045918,0.9306096012364972,0.021063955235456407,0.9619636820019659,0.01227555295357794,0.0693903987635029,0.021063955235456403,0.004040235708412189,0.0033089592973310974,0.9861632860262439,0.0021891057922287407,3
defended,BOOTLFA,BOOTKCD,0.5,0.8881752519810239,0.03732633589474118,0.9469870210228449,0.03456355607190542,0.8236609437822785,0.08022909387202436,0.8792491691077803,0.04355358891499274,0.17633905621772153,0.08022909387202441,0.0473459860759137,0.031151791331493702,0.9626294897198298,0.00886892606269344,3
