scenario,attack,defence,intensity,seed,accuracy,precision,recall,f1,fnr,fpr,auc,tn,fp,fn,tp
baseline,,,0.0,42,0.9949456659085165,0.9984740590030519,0.9914141414141414,0.994931576279777,0.008585858585858586,0.0015174506828528073,0.9989165810865356,1974,3,17,1963
attacked,BOOTLFA,,0.3,42,0.9914076320444781,0.9959225280326198,0.9868686868686869,0.9913749365804161,0.013131313131313131,0.004046535154274153,0.9970616636777486,1969,8,26,1954
defended,BOOTLFA,BOOTKCD,0.3,42,0.9919130654536265,1.0,0.9838383838383838,0.9918533604887985,0.01616161616161616,0.0,0.9985321091542639,1977,0,32,1948
attacked,BOOTLFA,,0.4,42,0.9818043972706596,1.0,0.9636363636363636,0.9814814814814815,0.03636363636363636,0.0,0.9899283681529508,1977,0,72,1908
defended,BOOTLFA,BOOTKCD,0.4,42,0.9835734142026787,1.0,0.9671717171717171,0.9833119383825417,0.03282828282828283,0.0,0.9982163567899531,1977,0,65,1915
attacked,BOOTLFA,,0.5,42,0.4200151630022744,0.4424552429667519,0.6116161616161616,0.5134619461522154,0.3883838383838384,0.7718765806777946,0.5018508299995401,451,1526,769,1211
defended,BOOTLFA,BOOTKCD,0.5,42,0.9871114480667172,1.0,0.9742424242424242,0.9869531849577897,0.025757575757575757,0.0,0.9970588535838916,1977,0,51,1929
attacked,BAGLFA,,0.3,42,0.9843315643164013,1.0,0.9686868686868687,0.9840944073884044,0.031313131313131314,0.0,0.9930230478788901,1977,0,62,1918
defended,BAGLFA,BAGKCD,0.3,42,0.9845842810209755,1.0,0.9691919191919192,0.9843549628109771,0.03080808080808081,0.0,0.9974389826438385,1977,0,61,1919
attacked,BAGLFA,,0.4,42,0.9825625473843821,0.9994772608468374,0.9656565656565657,0.982275879784228,0.03434343434343434,0.0005058168942842691,0.987046744633998,1976,1,68,1912
defended,BAGLFA,BAGKCD,0.4,42,0.9840788476118272,1.0,0.9681818181818181,0.9838337182448036,0.031818181818181815,0.0,0.9981790591805766,1977,0,63,1917
attacked,BAGLFA,,0.5,42,0.629011877685115,1.0,0.2585858585858586,0.4109149277688604,0.7414141414141414,0.0,0.37931055624530585,1977,0,1468,512
defended,BAGLFA,BAGKCD,0.5,42,0.9833206974981046,1.0,0.9666666666666667,0.983050847457627,0.03333333333333333,0.0,0.9986199884530689,1977,0,66,1914
baseline,,,0.0,43,0.9939378630967416,0.9979633401221996,0.98989898989899,0.9939148073022313,0.010101010101010102,0.00202122283981809,0.9990514033717672,1975,4,20,1960
attacked,BOOTLFA,,0.3,43,0.9866127810053044,0.9969056214543579,0.9762626262626263,0.9864761418729268,0.023737373737373738,0.003031834259727135,0.9952156736643851,1973,6,47,1933
defended,BOOTLFA,BOOTKCD,0.3,43,0.9873705481182117,0.9994824016563147,0.9752525252525253,0.9872188139059305,0.024747474747474747,0.0005053057099545225,0.9947369092644485,1978,1,49,1931
attacked,BOOTLFA,,0.4,43,0.9780247537256883,1.0,0.956060606060606,0.9775367931835787,0.04393939393939394,0.0,0.9716916512267699,1979,0,87,1893
defended,BOOTLFA,BOOTKCD,0.4,43,0.9866127810053044,0.9994815966822188,0.9737373737373738,0.9864415451522129,0.026262626262626262,0.0005053057099545225,0.9950857743682403,1978,1,52,1928
attacked,BOOTLFA,,0.5,43,0.6984086890628947,0.65244375484872,0.8494949494949495,0.7380430013163669,0.1505050505050505,0.45275391611925214,0.8434634367934014,1083,896,298,1682
defended,BOOTLFA,BOOTKCD,0.5,43,0.9850972467794897,0.997926386728875,0.9722222222222222,0.9849066257354823,0.027777777777777776,0.00202122283981809,0.9934613951541693,1975,4,55,1925
attacked,BAGLFA,,0.3,43,0.9790351098762313,1.0,0.9580808080808081,0.9785916946092339,0.04191919191919192,0.0,0.9962630345904727,1979,0,83,1897
defended,BAGLFA,BAGKCD,0.3,43,0.9863601919676686,0.9989637305699481,0.9737373737373738,0.9861892583120205,0.026262626262626262,0.001010611419909045,0.9965220675680504,1977,2,52,1928
