scenario,attack,defence,intensity,accuracy_mean,accuracy_std,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,fnr_mean,fnr_std,fpr_mean,fpr_std,auc_mean,auc_std,n_seeds
attacked,BAGLFA,,0.3,0.9831580923742219,0.003679377229685704,1.0,0.0,0.9663206040860238,0.007348190849689054,0.982862384336733,0.003807240911421482,0.0336793959139763,0.00734819084968904,0.0,0.0,0.9954021744402491,0.0020864391062752024,3
attacked,BAGLFA,,0.4,0.9780218173861049,0.004673734468422072,0.9957062891459936,0.006989108855100408,0.9602513166719436,0.012081867129945863,0.9776052747621455,0.004920831453603475,0.03974868332805643,0.012081867129945854,0.004211051311064269,0.0068603678819935746,0.9894498026131803,0.0020850173916982283,3
attacked,BAGLFA,,0.5,0.42588684211125455,0.17913807467622342,0.5836830864828607,0.3629395627362256,0.46539289082261776,0.23239473518807818,0.4368790279668164,0.08076382248521578,0.5346071091773822,0.23239473518807818,0.6132726966481389,0.537114616648834,0.3829627617093305,0.004084630015172362,3
attacked,BOOTLFA,,0.3,0.987790082955636,0.0031958963836023787,0.997609383162326,0.0021278874071233786,0.9779362550343339,0.008224341725728545,0.9876572177023372,0.003290207571537096,0.0220637449656661,0.008224341725728545,0.0023594564713337626,0.002105393218958802,0.9939502268205764,0.0039012501818383107,3
attacked,BOOTLFA,,0.4,0.9790320458697096,0.002430638181036587,1.0,0.0,0.9580654880452656,0.004887254701008762,0.9785794662747994,0.0025461748307312837,0.0419345119547344,0.00488725470100877,0.0,0.0,0.9822539090263679,0.009455104279875169,3
attacked,BOOTLFA,,0.5,0.5979489795677363,0.15452319174762075,0.6982996659384906,0.28158677607483734,0.6038216679773808,0.24966179966647412,0.5901372413189296,0.1281190732274534,0.39617833202261915,0.24966179966647406,0.4082101655990156,0.3878614098263938,0.6686942399252508,0.17094416297176404,3
baseline,,,0.0,0.9945263864049689,0.0005247849330175907,0.9988124663750838,0.0010596629306268669,0.9902321155607304,0.0010556489378719944,0.9945032206179757,0.0005269427178206343,0.009767884439269677,0.0010556489378720341,0.0011795578408902991,0.0010521236246457456,0.9989676712834221,7.3098440183474e-05,3
defended,BAGLFA,BAGKCD,0.3,0.986441792419133,0.0018996265413637984,0.9996545768566495,0.0005982904343934223,0.9732244929919348,0.0038021663108056504,0.9862598384135483,0.0019411282609424693,0.026775507008065146,0.003802166310805636,0.000336870473303015,0.000583476775330597,0.9975525727006128,0.0010917411166340505,3
defended,BAGLFA,BAGKCD,0.4,0.9853471548114191,0.0011056232042996952,0.9996542185338866,0.000598911067624091,0.9710344087998285,0.002484756276540382,0.9851350629697868,0.0011328818455824594,0.028965591200171583,0.0024847562765403317,0.000336870473303015,0.000583476775330597,0.9960312899583094,0.0022710547492190724,3
defended,BAGLFA,BAGKCD,0.5,0.9855154198362378,0.0019666747300610206,0.9987966305655837,0.002084297000684591,0.9722135408687481,0.004865149639099478,0.9853188252680818,0.002023602705598456,0.027786459131251853,0.004865149639099481,0.0011790466565605525,0.0020421687136570896,0.9980141258136291,0.0011449329254951722,3
defended,BOOTLFA,BOOTKCD,0.3,0.9903160584432859,0.002553911084595894,0.9998274672187716,0.00029883554305880236,0.9808024634617153,0.00481346612751841,0.9902200815830166,0.002602556525035318,0.01919753653828477,0.004813466127518401,0.0001684352366515075,0.0002917383876652985,0.9970344494992803,0.0020200847154087315,3
defended,BOOTLFA,BOOTKCD,0.4,0.9862732295047912,0.002547071170988471,0.9998271988940729,0.0002993002950697737,0.9727196127095015,0.005115520554446059,0.9860824916137753,0.0026096183072355996,0.027280387290498514,0.005115520554445997,0.0001684352366515075,0.0002917383876652985,0.9972126463765586,0.0018428932554595105,3
defended,BOOTLFA,BOOTKCD,0.5,0.9870315923967444,0.0018956796748908823,0.9993087955762917,0.0011972011802791828,0.9747399849523206,0.0027998992189798484,0.9868707889768302,0.0019242887463439258,0.025260015047679354,0.00279989921897981,0.00067374094660603,0.001166953550661194,0.9961464356295232,0.0023647557463348646,3
